acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.175,-0.786,1.214,-149.536,70.007,171.387
-0.100,-1.063,1.219,-161.072,70.312,175.049
-0.012,-0.835,1.038,-174.744,59.143,175.964
-0.061,-0.685,1.027,-172.607,11.597,145.935
-0.155,-0.758,1.286,-153.625,3.845,113.770
-0.166,-0.927,1.473,-159.790,16.724,86.670
-0.159,-0.875,1.151,-151.611,17.700,68.298
-0.224,-0.793,1.069,-125.610,10.620,63.843
-0.262,-0.768,1.186,-37.537,3.662,46.021
-0.234,-0.700,1.276,-23.071,7.324,36.865
-0.166,-0.551,1.212,-26.672,15.808,1.099
0.006,-0.239,1.191,3.540,9.155,-18.738
-0.017,-0.415,1.321,15.381,7.996,51.758
0.026,-0.768,1.449,13.245,20.630,67.627
0.085,-1.278,1.416,55.542,16.479,123.108
0.114,-1.853,1.466,87.830,4.028,147.217
0.041,-2.516,1.777,166.748,-16.052,204.834
0.023,-2.933,1.878,185.242,1.709,205.566
0.080,-2.585,1.771,230.591,30.273,134.155
0.082,-2.200,1.660,300.537,70.496,-14.832
0.035,-1.696,1.386,326.965,117.493,-236.572
-0.445,-0.685,0.992,355.774,162.170,-682.556
-0.902,-0.454,0.947,365.356,167.358,-829.590
-0.740,-0.919,1.405,241.577,215.637,-1192.505
-0.050,-1.808,1.204,39.612,215.759,-1260.986
0.952,-2.518,0.227,-128.296,68.359,-1095.459
1.239,-2.534,-0.187,15.137,-136.169,-712.585
1.988,-1.624,0.639,252.014,-218.506,-282.837
1.844,-1.064,0.854,289.124,-257.324,-16.052
1.045,-0.375,1.656,177.612,-243.225,79.590
0.477,-0.193,1.874,88.501,-154.907,93.323
0.166,-0.177,1.501,26.428,-62.073,86.975
